#k:30.000000 m:0.010000 mu:-0.010000 Half-Life:1.735145 Freq:8.700000
Time Position Velocity Energy
10.000000 0.619576 -66.116906 27.615338
9.999900 0.626169 -65.933658 27.617552
9.999800 0.632744 -65.748424 27.619750
9.999700 0.639300 -65.561210 27.621930
9.999600 0.645837 -65.372021 27.624093
9.999500 0.652355 -65.180864 27.626238
9.999400 0.658854 -64.987743 27.628365
9.999300 0.665333 -64.792665 27.630475
9.999200 0.671793 -64.595634 27.632567
9.999100 0.678233 -64.396658 27.634641
9.999000 0.684652 -64.195742 27.636696
9.998900 0.691052 -63.992892 27.638734
9.998800 0.697430 -63.788114 27.640753
9.998700 0.703788 -63.581413 27.642753
9.998600 0.710126 -63.372797 27.644735
9.998500 0.716442 -63.162271 27.646698
9.998400 0.722737 -62.949841 27.648643
9.998300 0.729010 -62.735514 27.650568
9.998200 0.735262 -62.519297 27.652475
9.998100 0.741493 -62.301194 27.654362
9.998000 0.747701 -62.081214 27.656230
9.997900 0.753887 -61.859363 27.658079
9.997800 0.760050 -61.635647 27.659909
9.997700 0.766191 -61.410072 27.661719
9.997600 0.772309 -61.182646 27.663509
9.997500 0.778405 -60.953375 27.665280
9.997400 0.784477 -60.722266 27.667031
9.997300 0.790526 -60.489326 27.668762
9.997200 0.796551 -60.254562 27.670473
9.997100 0.802553 -60.017981 27.672164
9.997000 0.808531 -59.779589 27.673836
9.996900 0.814485 -59.539394 27.675487
9.996800 0.820415 -59.297404 27.677118
9.996700 0.826320 -59.053624 27.678729
9.996600 0.832201 -58.808063 27.680319
9.996500 0.838057 -58.560728 27.681889
9.996400 0.843888 -58.311626 27.683439
9.996300 0.849694 -58.060764 27.684968
9.996200 0.855475 -57.808150 27.686477
9.996100 0.861231 -57.553792 27.687965
9.996000 0.866960 -57.297697 27.689432
9.995900 0.872664 -57.039872 27.690879
9.995800 0.878342 -56.780326 27.692305
9.995700 0.883994 -56.519065 27.693710
9.995600 0.889620 -56.256099 27.695094
9.995500 0.895219 -55.991434 27.696458
9.995400 0.900791 -55.725078 27.697801
9.995300 0.906337 -55.457040 27.699122
9.995200 0.911856 -55.187328 27.700423
9.995100 0.917347 -54.915948 27.701703
9.995000 0.922812 -54.642911 27.702962
9.994900 0.928249 -54.368222 27.704200
9.994800 0.933658 -54.091892 27.705417
9.994700 0.939039 -53.813928 27.706613
9.994600 0.944393 -53.534338 27.707788
9.994500 0.949718 -53.253130 27.708942
9.994400 0.955015 -52.970314 27.710075
9.994300 0.960284 -52.685897 27.711186
9.994200 0.965524 -52.399887 27.712277
9.994100 0.970735 -52.112295 27.713346
9.994000 0.975917 -51.823127 27.714395
9.993900 0.981070 -51.532392 27.715422
9.993800 0.986194 -51.240100 27.716429
9.993700 0.991289 -50.946259 27.717414
9.993600 0.996354 -50.650878 27.718378
9.993500 1.001389 -50.353965 27.719321
9.993400 1.006395 -50.055529 27.720244
9.993300 1.011371 -49.755580 27.721145
9.993200 1.016316 -49.454126 27.722025
9.993100 1.021231 -49.151176 27.722884
9.993000 1.026116 -48.846739 27.723723
9.992900 1.030970 -48.540824 27.724540
9.992800 1.035793 -48.233441 27.725337
9.992700 1.040586 -47.924598 27.726113
9.992600 1.045347 -47.614305 27.726868
9.992500 1.050077 -47.302571 27.727603
9.992400 1.054776 -46.989406 27.728316
9.992300 1.059444 -46.674818 27.729009
9.992200 1.064080 -46.358817 27.729682
9.992100 1.068684 -46.041412 27.730334
9.992000 1.073256 -45.722613 27.730965
9.991900 1.077796 -45.402430 27.731576
9.991800 1.082304 -45.080872 27.732167
9.991700 1.086780 -44.757948 27.732737
9.991600 1.091224 -44.433669 27.733287
9.991500 1.095634 -44.108043 27.733817
9.991400 1.100012 -43.781081 27.734326
9.991300 1.104358 -43.452792 27.734816
9.991200 1.108670 -43.123187 27.735285
9.991100 1.112949 -42.792274 27.735735
9.991000 1.117195 -42.460065 27.736165
9.990900 1.121408 -42.126568 27.736575
9.990800 1.125587 -41.791793 27.736965
9.990700 1.129733 -41.455752 27.737336
9.990600 1.133845 -41.118453 27.737687
9.990500 1.137923 -40.779907 27.738019
9.990400 1.141967 -40.440124 27.738332
9.990300 1.145976 -40.099114 27.738625
9.990200 1.149952 -39.756888 27.738899
9.990100 1.153893 -39.413454 27.739155
9.990000 1.157800 -39.068825 27.739391
9.989900 1.161673 -38.723009 27.739608
9.989800 1.165510 -38.376018 27.739807
9.989700 1.169313 -38.027862 27.739987
9.989600 1.173081 -37.678550 27.740148
9.989500 1.176814 -37.328095 27.740291
9.989400 1.180511 -36.976505 27.740416
9.989300 1.184174 -36.623792 27.740523
9.989200 1.187801 -36.269966 27.740611
9.989100 1.191392 -35.915037 27.740682
9.989000 1.194948 -35.559017 27.740735
9.988900 1.198468 -35.201915 27.740770
9.988800 1.201953 -34.843743 27.740787
9.988700 1.205401 -34.484512 27.740787
9.988600 1.208814 -34.124231 27.740770
9.988500 1.212190 -33.762912 27.740736
9.988400 1.215530 -33.400566 27.740685
9.988300 1.218834 -33.037203 27.740616
9.988200 1.222101 -32.672834 27.740531
9.988100 1.225332 -32.307470 27.740430
9.988000 1.228526 -31.941123 27.740311
9.987900 1.231683 -31.573802 27.740177
9.987800 1.234804 -31.205520 27.740026
9.987700 1.237887 -30.836286 27.739860
9.987600 1.240934 -30.466112 27.739677
9.987500 1.243943 -30.095010 27.739479
9.987400 1.246916 -29.722990 27.739265
9.987300 1.249851 -29.350063 27.739036
9.987200 1.252748 -28.976240 27.738791
9.987100 1.255609 -28.601534 27.738532
9.987000 1.258431 -28.225954 27.738257
9.986900 1.261216 -27.849512 27.737968
9.986800 1.263963 -27.472220 27.737664
9.986700 1.266673 -27.094088 27.737345
9.986600 1.269344 -26.715128 27.737013
9.986500 1.271978 -26.335352 27.736666
9.986400 1.274573 -25.954770 27.736305
9.986300 1.277131 -25.573394 27.735931
9.986200 1.279650 -25.191236 27.735543
9.986100 1.282131 -24.808306 27.735142
9.986000 1.284573 -24.424617 27.734727
9.985900 1.286977 -24.040180 27.734300
9.985800 1.289343 -23.655006 27.733859
9.985700 1.291669 -23.269107 27.733406
9.985600 1.293958 -22.882494 27.732941
9.985500 1.296207 -22.495180 27.732463
9.985400 1.298418 -22.107174 27.731973
9.985300 1.300590 -21.718491 27.731471
9.985200 1.302723 -21.329139 27.730957
9.985100 1.304817 -20.939133 27.730432
9.985000 1.306871 -20.548482 27.729896
9.984900 1.308887 -20.157200 27.729348
9.984800 1.310864 -19.765297 27.728790
9.984700 1.312801 -19.372785 27.728220
9.984600 1.314699 -18.979676 27.727641
9.984500 1.316558 -18.585983 27.727051
9.984400 1.318377 -18.191715 27.726450
9.984300 1.320156 -17.796887 27.725840
9.984200 1.321897 -17.401508 27.725220
9.984100 1.323597 -17.005592 27.724591
9.984000 1.325258 -16.609149 27.723952
9.983900 1.326879 -16.212192 27.723304
9.983800 1.328461 -15.814733 27.722648
9.983700 1.330002 -15.416784 27.721982
9.983600 1.331504 -15.018356 27.721308
9.983500 1.332966 -14.619461 27.720626
9.983400 1.334388 -14.220112 27.719936
9.983300 1.335770 -13.820321 27.719238
9.983200 1.337112 -13.420098 27.718532
9.983100 1.338414 -13.019457 27.717819
9.983000 1.339676 -12.618410 27.717099
9.982900 1.340898 -12.216968 27.716372
9.982800 1.342079 -11.815143 27.715638
9.982700 1.343221 -11.412947 27.714898
9.982600 1.344322 -11.010393 27.714151
9.982500 1.345382 -10.607493 27.713398
9.982400 1.346403 -10.204258 27.712640
9.982300 1.347383 -9.800701 27.711876
9.982200 1.348323 -9.396834 27.711106
9.982100 1.349222 -8.992668 27.710331
9.982000 1.350081 -8.588217 27.709551
9.981900 1.350899 -8.183492 27.708767
9.981800 1.351677 -7.778505 27.707978
9.981700 1.352414 -7.373268 27.707185
9.981600 1.353111 -6.967795 27.706387
9.981500 1.353767 -6.562095 27.705586
9.981400 1.354383 -6.156183 27.704781
9.981300 1.354958 -5.750070 27.703973
9.981200 1.355492 -5.343768 27.703162
9.981100 1.355986 -4.937289 27.702348
9.981000 1.356439 -4.530646 27.701531
9.980900 1.356851 -4.123851 27.700712
9.980800 1.357223 -3.716916 27.699890
9.980700 1.357554 -3.309853 27.699067
9.980600 1.357844 -2.902674 27.698242
9.980500 1.358094 -2.495392 27.697415
9.980400 1.358303 -2.088019 27.696587
9.980300 1.358471 -1.680567 27.695758
9.980200 1.358598 -1.273048 27.694928
9.980100 1.358684 -0.865475 27.694098
9.980000 1.358730 -0.457859 27.693267
9.979900 1.358735 -0.050214 27.692436
9.979800 1.358700 0.357450 27.691606
9.979700 1.358623 0.765119 27.690775
9.979600 1.358506 1.172781 27.689945
9.979500 1.358348 1.580425 27.689116
9.979400 1.358149 1.988037 27.688288
9.979300 1.357909 2.395606 27.687462
9.979200 1.357629 2.803119 27.686636
9.979100 1.357308 3.210565 27.685813
9.979000 1.356946 3.617931 27.684991
9.978900 1.356544 4.025204 27.684172
9.978800 1.356100 4.432373 27.683355
9.978700 1.355616 4.839425 27.682541
9.978600 1.355092 5.246348 27.681730
9.978500 1.354527 5.653130 27.680922
9.978400 1.353921 6.059759 27.680117
9.978300 1.353274 6.466223 27.679315
9.978200 1.352587 6.872508 27.678518
9.978100 1.351859 7.278604 27.677725
9.978000 1.351090 7.684497 27.676936
9.977900 1.350281 8.090176 27.676151
9.977800 1.349432 8.495629 27.675371
9.977700 1.348542 8.900843 27.674596
9.977600 1.347611 9.305806 27.673827
9.977500 1.346640 9.710506 27.673062
9.977400 1.345629 10.114931 27.672304
9.977300 1.344577 10.519068 27.671551
9.977200 1.343484 10.922906 27.670804
9.977100 1.342352 11.326433 27.670064
9.977000 1.341179 11.729636 27.669330
9.976900 1.339966 12.132503 27.668603
9.976800 1.338712 12.535022 27.667882
9.976700 1.337418 12.937182 27.667170
9.976600 1.336084 13.338969 27.666464
9.976500 1.334710 13.740372 27.665766
9.976400 1.333296 14.141379 27.665076
9.976300 1.331842 14.541977 27.664394
9.976200 1.330348 14.942155 27.663720
9.976100 1.328814 15.341901 27.663055
9.976000 1.327240 15.741203 27.662398
9.975900 1.325626 16.140048 27.661751
9.975800 1.323972 16.538425 27.661112
9.975700 1.322278 16.936322 27.660483
9.975600 1.320545 17.333727 27.659864
9.975500 1.318772 17.730627 27.659254
9.975400 1.316959 18.127011 27.658654
9.975300 1.315107 18.522868 27.658064
9.975200 1.313215 18.918184 27.657485
9.975100 1.311284 19.312949 27.656916
9.975000 1.309313 19.707149 27.656358
9.974900 1.307303 20.100775 27.655811
9.974800 1.305253 20.493813 27.655276
9.974700 1.303165 20.886252 27.654751
9.974600 1.301037 21.278080 27.654238
9.974500 1.298870 21.669285 27.653737
9.974400 1.296664 22.059855 27.653248
9.974300 1.294419 22.449780 27.652771
9.974200 1.292135 22.839046 27.652307
9.974100 1.289812 23.227643 27.651855
9.974000 1.287451 23.615559 27.651416
9.973900 1.285051 24.002781 27.650989
9.973800 1.282612 24.389299 27.650576
9.973700 1.280134 24.775100 27.650176
